city,lat,lng
Đông Hà,16.8303,107.0972
Simeulu,2.63,96.09
Lawang,-7.83,112.7
Daanbantayan,11.25,124.0
Lemery,13.92,120.88
Indanan,6.0,120.97
Tual,-5.6368,132.7508
Palimbang,6.22,124.2
Sablayan,12.8428,120.775
Tatakan,-6.1116,106.1036
Sepatan,-6.1143,106.5784
Santa Barbara,16.0031,120.4008
Raub,3.7952,101.856
Phú Thọ,21.4003,105.2225
Salaman,6.63,124.07
Cisauk,-6.3333,106.65
Bauan,13.7917,121.0085
Pantukan,7.1269,125.8975
Pongotan,7.1269,125.8975
Pinamalayan,13.0364,121.4889
Victorias,10.9,123.08
Marudi,4.1833,114.3167
Compostela,7.67,126.08
Ipil,7.7822,122.5867
Surallah,6.37,124.73
Pamekasan,-7.1574,113.4718
Maumere,-8.6222,122.2122
Polangui,13.2922,123.4856
Banga,6.3,124.78
Kalibo,11.7072,122.37
Hinigaran,10.27,122.85
Calabanga,13.7089,123.2161
Passi,11.1,122.63
Murcia,10.6,123.03
Bogo,11.02,124.0
Solana,17.6522,121.6914
Echague,16.7056,121.6761
Aroroy,12.5125,123.3989
Prosperidad,8.61,125.92
Alabel,6.1023,125.2868
Ban Laem Chabang,13.0833,100.8833
Makilala,6.97,125.08
Baggao,17.9347,121.7733
Calauan,14.15,121.32
Baras,14.52,121.27
Ende,-8.8333,121.65
Western Bicutan,14.5094,121.0381
Maasin,10.13,124.85
San Fabian,16.15,120.45
Calaca,13.93,120.8131
Camiling,15.6867,120.4131
Binmaley,16.0323,120.269
Nabua,13.4083,123.375
Nakhon Sawan,15.7133,100.1353
Karanganyar,-7.6033,110.9778
Bangkalan,-7.0253,112.7519
Bantayan,11.2,123.73
Cabiao,15.2522,120.8575
Guinobatan,13.18,123.6
Pariaman,-0.6264,100.1178
Batarasa,8.67,117.62
Tagaytay,14.1,120.93
Dapitan,8.6549,123.4243
Pandacan,14.594,121.007
Sumenep,-7.0049,113.8496
Nabunturan,7.6008,125.9656
Bais,9.5907,123.1213
Science City of Muñoz,15.7153,120.9039
Bolinao,16.3881,119.8947
Atambua,-9.1061,124.8925
Taytay,10.82,119.52
Phúc Yên,21.2333,105.7
Maco,7.3619,125.8553
Siaton,9.07,123.03
Kampong Trach,10.55,104.4667
San Antonio,15.3078,120.8533
Mabinay,9.73,122.92
Tanjay,9.52,123.16
Calatrava,10.6,123.48
Cukai,4.2332,103.4479
Carmen,7.3606,125.7064
Jepara,-6.5333,110.6667
Ubay,10.056,124.4729
Banco Filipino International Village,14.4499,120.9996
Siasi,5.5462,120.8145
Watampone,-4.5386,120.3297
An Khê,13.9531,108.6569
Matalam,7.08,124.9
Buhi,13.4347,123.5167
Lambunao,11.05,122.48
Bulacan,14.7928,120.8789
Kapalong,7.5854,125.7052
San Francisco,8.51,125.98
Malapatan,5.97,125.28
Barili,10.12,123.53
Butterworth,5.3942,100.3664
Cabadbaran,9.12,125.53
Tagoloan,8.53,124.75
San Jose,13.8772,121.105
Paco,14.583,120.983
Poblacion,6.8,124.63
Patikul,6.07,121.1
Xai,20.6914,101.9861
Robles,10.35,123.07
San Isidro,14.4685,121.0118
Mangatarem,15.7874,120.2921
Ban Talat Rangsit,13.9833,100.6167
Ban Nong Prue,12.9228,100.9375
Jaen,15.3392,120.9069
Carmen,7.2,124.78
Ubon Ratchathani,15.2281,104.8594
Subulussalam,2.6422,98.0042
Nakhon Pathom,13.8206,100.0625
Toboali,-2.9997,106.4656
Pagbilao,13.972,121.687
Bauang,16.53,120.33
Pototan,10.95,122.63
Limay,14.5619,120.5983
Bamban,15.2742,120.5669
Argao,9.88,123.6
Macabebe,14.9081,120.7156
Mandiraja Kulon,-7.4722,109.5133
Narra,9.28,118.42
Pakxé,15.1167,105.7833
Phuket,7.8881,98.3975
Santa Catalina,9.3331,122.8658
Hermosa,14.83,120.5
Ban Tha Khlong,14.0894,100.6236
Bustos,14.95,120.92
Kabacan,7.12,124.82
Umingan,15.9289,120.8419
Talakag,8.2319,124.6025
Balagtas,14.8145,120.9085
Bongabong,12.7469,121.4881
Virac,13.58,124.23
Ninh Hòa,12.4917,109.1258
Tuban,-6.9,112.05
Palo,11.1583,124.9917
Infanta,14.7425,121.6494
Manaoag,16.0439,120.4856
Solok,-0.7997,100.6661
Pilar,12.9244,123.6756
Sentani,-2.5636,140.5146
Xaignabouli,19.25,101.75
Santa Rosa,15.4239,120.9389
Cửa Lô,18.8167,105.7167
Pinamungahan,10.27,123.58
Libon,13.3,123.4333
Bugallon,15.92,120.18
Ubud,-8.5069,115.2624
Pozorrubio,16.12,120.55
Esperanza,6.7167,124.5167
Dalaguete,9.7612,123.5349
Balingasag,8.75,124.78
Brookes Point,8.78,117.83
Majalengka,-6.8353,108.2278
Dumangas,10.83,122.72
Alicia,16.7787,121.6972
Dĩ An,10.9039,106.7678
Cao Bằng,22.6667,106.2583
Tupi,6.33,124.95
Lala,7.97,123.75
Jose Abad Santos,5.92,125.65
Bagan Si Api-api,2.1667,100.8167
Bula,13.4694,123.2775
Catanauan,13.5917,122.325
Hương Trà,16.4675,107.5181
Carles,11.57,123.13
San Dionisio,14.4839,120.9925
Bacacay,13.2925,123.7917
Sipalay,9.75,122.4
Oroquieta,8.48,123.8
San Fernando,10.17,123.7
Camalig,13.13,123.67
Long Mỹ,9.6814,105.5708
Borongan,11.6094,125.4361
Gumaca,13.921,122.1002
Calauag,13.9575,122.2875
Pililla,14.48,121.3
Parang,5.92,120.92
Binalbagan,10.2,122.87
Goa,13.6983,123.4889
Talibon,10.12,124.28
Morong,14.5119,121.2389
Sihanoukville,10.6333,103.5
Mauban,14.1911,121.7308
Alabang,14.4184,121.0385
Samraong,14.25,103.5833
Phitsanulok,16.8158,100.2636
Tumauini,17.27,121.8
Chiang Rai,19.9094,99.8275
Poblacion,10.25,123.95
Pavia,10.775,122.5417
Aliaga,15.5036,120.845
Orani,14.8,120.53
Ban Houayxay,20.2631,100.4336
Rizal,15.71,121.1047
Tinambac,13.8183,123.3244
San Antonio,14.4656,121.0311
Waingapu,-9.65,120.2667
Thakhèk,17.4,104.8
Điện Biên Phủ,21.3833,103.0167
Phú Quốc,10.2289,103.9669
Raha Tiga,-4.8311,122.7239
Raha,-4.838,122.7209
Roxas,10.3197,119.3408
Victoria,15.5781,120.6819
Don Carlos,7.6808,124.9953
Cawayan,11.9303,123.7689
San Pascual,13.8,121.03
Ko Samui,9.5,100.0
La Paz,15.4431,120.7289
Bagumbayan,6.5339,124.5633
Buenavista,8.97,125.41
Aparri,18.3575,121.6372
Indang,14.2,120.88
Alamada,7.3868,124.5534
San Leonardo,15.3611,120.9622
Mamungan,8.12,124.22
Tangub,8.0667,123.75
Nghĩa Lộ,21.5758,104.5192
Sipocot,13.7675,122.9783
Tuburan,10.73,123.83
Miagao,10.6442,122.2352
Cuyapo,15.7778,120.6608
Putrajaya,2.93,101.69
Castillejos,14.93,120.2
Bayombong,16.48,121.15
Santa Barbara,10.8231,122.5344
Taman Senai,1.5833,103.6333
Bay,14.18,121.28
Pikit,7.05,124.67
Lupon,6.8969,126.0117
Bongabon,15.6321,121.1448
Janiuay,10.95,122.5
Botolan,15.2896,120.0245
Rosales,15.8944,120.6328
La Carlota,10.42,122.92
San Mateo,16.88,121.58
Opol,8.52,124.57
Kampung Tengah,1.4836,101.9561
Bengkalis,1.4897,102.0797
Ban Suan,13.3616,100.9795
Oas,13.2589,123.4953
Agoo,16.322,120.3647
Taman Johor Jaya,1.5333,103.8167
Lantapan,8.0,125.0233
Lahat,-3.8,103.5333
Coron,12.0,120.2
Roxas,17.12,121.62
Kiamba,5.98,124.62
Wamena,-4.0975,138.9511
San Remigio,11.0,123.95
Lutayan,6.6,124.85
Angat,14.9281,121.0293
Singaparna,-7.3497,108.1106
Solano,16.5183,121.1811
Quezon,9.235,117.9967
Tigbauan,10.6747,122.3776
Pateros,14.5448,121.0671
San Jose,10.7433,121.9411
Villasis,15.9,120.58
Sumbawa Besar,-8.5,117.4167
Maasin,5.87,125.0
Nagcarlan,14.1364,121.4165
Meulaboh,4.1333,96.1167
Isabela,10.2,122.98
Hilongos,10.37,124.75
Malvar,14.0417,121.1583
Sibulan,9.35,123.28
Saravia,10.88,122.97
Atimonan,14.0036,121.9199
Ambarawa,-7.2667,110.4
